00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Sum Dem Max Ind,Fact. Coincidencia
4.512,100.058,192.96,218.31,267.89,246.653,167.483,76.645,88.718,114.167,69.036,49.42,31.355,25.121,18.487,81.157,96.766,75.713,42.863,33.361,24.699,24.065,23.014,27.593,666.45,0.402
0.62,99.202,247.566,293.295,274.179,204.15,139.619,93.691,70.554,97.097,76.225,49.09,26.38,22.145,18.128,74.657,104.336,88.348,62.485,44.288,29.136,22.693,22.98,23.648,699.17,0.419
8.784,100.002,202.652,281.741,274.495,241.976,172.643,120.873,89.362,115.13,91.012,53.335,28.164,24.343,19.716,73.532,79.267,75.787,58.484,37.036,26.247,24.479,23.138,31.817,686.801,0.41
3.247,141.248,288.468,305.172,238.571,163.97,131.883,100.914,90.008,119.188,87.038,62.845,36.594,24.816,18.182,81.936,87.535,74.737,40.845,29.488,24.035,23.763,23.207,32.404,743.532,0.41
2.486,154.322,249.32,265.601,245.285,202.051,153.499,110.161,93.574,123.258,88.616,52.565,33.756,23.488,18.208,70.299,70.908,55.544,38.948,25.329,25.132,22.671,22.878,25.803,715.046,0.371
10.784,129.813,220.354,322.66,284.971,235.973,171.926,103.374,101.013,109.58,78.588,47.097,27.879,18.841,17.13,60.432,64.959,51.388,39.848,30.938,28.896,26.164,24.846,38.829,739.225,0.436
0.543,150.233,261.86,306.954,281.356,210.201,147.214,106.93,87.562,94.091,73.74,46.379,30.783,22.129,17.946,73.373,78.449,67.965,38.969,27.238,23.817,24.088,23.222,23.564,721.526,0.425
6.762,122.19,213.473,259.142,229.95,219.736,170.028,120.718,72.419,98.949,67.234,47.301,32.398,20.802,17.957,103.689,115.592,97.127,49.808,39.914,24.773,22.442,22.989,29.997,697.788,0.371
0.407,143.846,264.937,277.673,275.437,222.338,181.656,133.257,112.553,145.221,103.837,59.617,24.607,17.978,17.125,71.279,98.839,95.598,62.06,46.074,23.16,21.961,22.827,23.635,774.688,0.358
6.706,144.005,209.607,264.216,307.356,225.681,154.711,115.787,103.265,95.898,62.391,44.895,32.119,20.933,17.462,44.966,73.263,59.621,43.258,29.262,27.206,24.411,23.127,29.921,697.895,0.44
